,names,TN,FN,TP,FP,proportion_of_0,proportion_of_1,Accuracy
935,"loantype,LoanAmount,InterestRate,InsuranceRate,ResidenceType,RentAmount/2.csv",0.09,0.89,0.03,0.0,0.53,0.47,0.11
950,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount/2.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
1046,"LoanAmount,EMI,InsuranceRate,RentAmount/4.csv",0.09,0.89,0.03,0.0,0.45,0.55,0.11
1131,"InsuranceRate,ResidenceType/4.csv",0.09,0.89,0.03,0.0,0.42,0.58,0.11
1184,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
1298,"InterestRate,InsuranceRate,ResidenceType/4.csv",0.09,0.89,0.03,0.0,0.42,0.58,0.11
1361,"EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
1508,"loantype,DocumentCharge,InsuranceRate,RentAmount/5.csv",0.09,0.89,0.03,0.0,0.55,0.45,0.11
1534,"loantype,LoanAmount,EMI,InsuranceRate,InsuranceAmount,RentAmount/2.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
1574,"DocumentCharge,InsuranceRate/3.csv",0.09,0.89,0.03,0.0,0.57,0.43,0.11
1579,"EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
1618,"InsuranceRate,InsuranceAmount,ResidenceType/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
1620,"InsuranceRate,InsuranceAmount,ResidenceType/4.csv",0.09,0.89,0.03,0.0,0.42,0.58,0.11
1906,"LoanAmount,InterestRate,InsuranceRate,ResidenceType,RentAmount/2.csv",0.09,0.89,0.03,0.0,0.53,0.47,0.11
1935,"LoanAmount,DocumentCharge,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
1984,"loantype,LoanAmount,EMI,InsuranceRate/5.csv",0.09,0.89,0.03,0.0,0.46,0.54,0.11
2102,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,RentAmount/4.csv",0.09,0.89,0.03,0.0,0.45,0.55,0.11
2144,"loantype,EMI,InsuranceRate/5.csv",0.09,0.89,0.03,0.0,0.55,0.45,0.11
2290,"LoanAmount,EMI,InsuranceRate/4.csv",0.09,0.89,0.03,0.0,0.45,0.55,0.11
2524,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount/2.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
2563,"LoanAmount,EMI,InsuranceRate,ResidenceType/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
2565,"LoanAmount,EMI,InsuranceRate,ResidenceType/4.csv",0.09,0.89,0.03,0.0,0.42,0.58,0.11
2758,"LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
2794,"loantype,LoanAmount,InsuranceRate,ResidenceType,RentAmount/4.csv",0.09,0.89,0.03,0.0,0.55,0.45,0.11
2857,"DocumentCharge,InsuranceRate,RentAmount/3.csv",0.09,0.89,0.03,0.0,0.57,0.43,0.11
3002,"EMI,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
3004,"EMI,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",0.09,0.89,0.03,0.0,0.42,0.58,0.11
3091,"loantype,LoanAmount,EMI,InsuranceRate,RentAmount/5.csv",0.09,0.89,0.03,0.0,0.46,0.54,0.11
3186,"LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount/5.csv",0.09,0.89,0.03,0.0,0.44,0.56,0.11
3214,"EMI,InsuranceRate,ResidenceType,NoOfDependents/4.csv",0.09,0.89,0.03,0.0,0.42,0.58,0.11
3310,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
3312,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",0.09,0.89,0.03,0.0,0.42,0.58,0.11
3451,"loantype,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/2.csv",0.09,0.89,0.03,0.0,0.57,0.43,0.11
3476,"loantype,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/2.csv",0.09,0.89,0.03,0.0,0.53,0.47,0.11
3560,"InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/4.csv",0.09,0.89,0.03,0.0,0.42,0.58,0.11
3674,"LoanAmount,InsuranceRate/4.csv",0.09,0.89,0.03,0.0,0.45,0.55,0.11
3677,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
3889,"EMI,InsuranceRate,ResidenceType/4.csv",0.09,0.89,0.03,0.0,0.42,0.58,0.11
3913,"DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/2.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
3924,"InsuranceRate,ResidenceType,NoOfDependents/4.csv",0.09,0.89,0.03,0.0,0.42,0.58,0.11
4118,"LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
4120,"LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",0.09,0.89,0.03,0.0,0.42,0.58,0.11
4149,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/2.csv",0.09,0.89,0.03,0.0,0.57,0.43,0.11
4167,"EMI,InsuranceRate,InsuranceAmount/5.csv",0.09,0.89,0.03,0.0,0.43,0.57,0.11
4282,"LoanAmount,InsuranceRate,ResidenceType/3.csv",0.09,0.89,0.03,0.0,0.56,0.44,0.11
4284,"LoanAmount,InsuranceRate,ResidenceType/4.csv",0.09,0.89,0.03,0.0,0.42,0.58,0.11
4457,"LoanAmount,EMI,InsuranceRate,RentAmount,NoOfDependents/3.csv",0.09,0.89,0.03,0.0,0.54,0.46,0.11
4546,"LoanAmount,InterestRate,InsuranceRate/5.csv",0.09,0.89,0.03,0.0,0.46,0.54,0.11
4601,"LoanAmount,EMI,InterestRate,InsuranceRate/5.csv",0.09,0.89,0.03,0.0,0.46,0.54,0.11
55,"LoanAmount,DocumentCharge,InsuranceRate,ResidenceType,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
210,"LoanAmount,InterestRate,InsuranceRate,ResidenceType,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
225,"LoanAmount,EMI,InterestRate,InsuranceRate,ResidenceType,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
270,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
294,"LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
387,"DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
487,"LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType,RentAmount/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
536,"DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
586,"DocumentCharge,InsuranceRate,ResidenceType,RentAmount/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
814,"LoanAmount,DocumentCharge,InterestRate,InsuranceRate,ResidenceType,RentAmount/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
964,"LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
994,"DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
1186,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.08,0.89,0.03,0.0,0.42,0.58,0.11
1206,"loantype,LoanAmount,DocumentCharge,InterestRate,InsuranceRate,ResidenceType,RentAmount/4.csv",0.08,0.89,0.03,0.0,0.55,0.45,0.11
1325,"loantype,DocumentCharge,InterestRate,InsuranceRate,RentAmount/5.csv",0.08,0.9,0.03,0.0,0.53,0.47,0.1
1386,"DocumentCharge,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
1441,"LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
1456,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
1543,"LoanAmount,InterestRate,InsuranceRate,ResidenceType/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
1805,"EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
1810,"DocumentCharge,InterestRate,InsuranceRate,ResidenceType/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
1905,"LoanAmount,InterestRate,InsuranceRate,ResidenceType,RentAmount/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
2050,"LoanAmount,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
2080,"LoanAmount,EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
2090,"EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
2179,"LoanAmount,EMI,InterestRate,InsuranceRate,RentAmount/5.csv",0.08,0.9,0.03,0.0,0.45,0.55,0.1
2199,"DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
2493,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
2568,"EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
2615,"DocumentCharge,InterestRate,InsuranceRate,ResidenceType,RentAmount/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
2646,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType,RentAmount/4.csv",0.08,0.89,0.03,0.0,0.55,0.45,0.11
3067,"EMI,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
3177,"LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.53,0.47,0.11
3275,"LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
3350,"LoanAmount,DocumentCharge,InsuranceRate,ResidenceType/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
3568,"DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
3776,"loantype,LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.08,0.89,0.03,0.0,0.42,0.58,0.11
4088,"LoanAmount,EMI,InterestRate,InsuranceRate,ResidenceType/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
4093,"LoanAmount,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
4238,"loantype,LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/2.csv",0.08,0.89,0.03,0.0,0.57,0.43,0.11
4731,"LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
4911,"DocumentCharge,InsuranceRate,ResidenceType/3.csv",0.08,0.89,0.03,0.0,0.56,0.44,0.11
1743,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/4.csv",0.07,0.9,0.03,0.0,0.53,0.47,0.09
2919,"loantype,LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",0.07,0.9,0.03,0.0,0.53,0.47,0.09
2929,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",0.07,0.9,0.03,0.0,0.53,0.47,0.09
4075,"loantype,LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",0.07,0.91,0.03,0.0,0.54,0.46,0.09
2765,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.06,0.91,0.03,0.0,0.53,0.47,0.09
2984,"loantype,DocumentCharge,InterestRate,InsuranceRate,ResidenceType,RentAmount,NoOfDependents/4.csv",0.06,0.91,0.03,0.0,0.53,0.47,0.09
3604,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.06,0.91,0.03,0.0,0.53,0.47,0.09
560,"loantype,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",0.05,0.93,0.03,0.0,0.47,0.53,0.07
2029,"loantype,InterestRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",0.05,0.93,0.03,0.0,0.47,0.53,0.07
16,"loantype,LoanAmount,EMI,InterestRate,InsuranceAmount,ResidenceType,NoOfDependents/2.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
25,"loantype,DocumentCharge,ResidenceType,RentAmount,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.55,0.45,0.07
34,"loantype,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.04,0.93,0.03,0.0,0.47,0.53,0.07
37,"loantype,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/4.csv",0.04,0.93,0.03,0.0,0.53,0.47,0.07
48,"DocumentCharge,EMI,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",0.04,0.93,0.03,0.0,0.5,0.5,0.07
82,"LoanAmount,InsuranceRate,InsuranceAmount,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.58,0.42,0.07
104,"LoanAmount,InterestRate,ResidenceType,RentAmount,NoOfDependents/1.csv",0.04,0.93,0.03,0.0,0.52,0.48,0.07
108,"loantype,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/4.csv",0.04,0.93,0.03,0.0,0.44,0.56,0.07
109,"loantype,InterestRate,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
112,"LoanAmount,DocumentCharge,InterestRate,RentAmount/2.csv",0.04,0.94,0.03,0.0,0.51,0.49,0.06
127,"loantype,LoanAmount,EMI,ResidenceType,NoOfDependents/2.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
165,"DocumentCharge,EMI,InsuranceRate,RentAmount,NoOfDependents/5.csv",0.04,0.93,0.03,0.0,0.4,0.6,0.07
180,"LoanAmount,DocumentCharge,EMI,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.44,0.56,0.07
200,"LoanAmount,DocumentCharge,EMI,ResidenceType,RentAmount,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.43,0.57,0.07
202,"LoanAmount,DocumentCharge,EMI,ResidenceType,RentAmount,NoOfDependents/4.csv",0.04,0.93,0.03,0.0,0.41,0.59,0.07
208,"loantype,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
209,"loantype,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",0.04,0.93,0.03,0.0,0.47,0.53,0.07
215,"loantype,LoanAmount,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/3.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
235,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,ResidenceType,NoOfDependents/3.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
255,"EMI,InterestRate,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.52,0.48,0.07
267,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",0.04,0.93,0.03,0.0,0.53,0.47,0.07
282,"EMI,InterestRate,ResidenceType,RentAmount,NoOfDependents/4.csv",0.04,0.93,0.03,0.0,0.41,0.59,0.07
283,"EMI,InterestRate,ResidenceType,RentAmount,NoOfDependents/1.csv",0.04,0.93,0.03,0.0,0.48,0.52,0.07
287,"DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",0.04,0.93,0.03,0.0,0.46,0.54,0.07
316,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType/4.csv",0.04,0.93,0.03,0.0,0.53,0.47,0.07
352,"loantype,InsuranceRate,ResidenceType,RentAmount/3.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
360,"LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/1.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
366,"LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",0.04,0.94,0.03,0.0,0.43,0.57,0.06
368,"loantype,EMI,ResidenceType,NoOfDependents/2.csv",0.04,0.93,0.03,0.0,0.45,0.55,0.07
377,"loantype,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/3.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
379,"loantype,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/4.csv",0.04,0.93,0.03,0.0,0.53,0.47,0.07
380,"loantype,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/1.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
409,"loantype,DocumentCharge,EMI,ResidenceType,RentAmount,NoOfDependents/4.csv",0.04,0.93,0.03,0.0,0.41,0.59,0.07
415,"loantype,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",0.04,0.94,0.03,0.0,0.47,0.53,0.06
422,"LoanAmount,EMI,InterestRate,ResidenceType,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.45,0.55,0.07
424,"LoanAmount,EMI,InterestRate,ResidenceType,NoOfDependents/4.csv",0.04,0.93,0.03,0.0,0.41,0.59,0.07
428,"loantype,LoanAmount,EMI,InterestRate,ResidenceType,RentAmount,NoOfDependents/2.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
440,"loantype,DocumentCharge,RentAmount,NoOfDependents/1.csv",0.04,0.93,0.03,0.0,0.53,0.47,0.07
451,"LoanAmount,InsuranceAmount,RentAmount,NoOfDependents/5.csv",0.04,0.94,0.03,0.0,0.37,0.63,0.06
462,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.53,0.47,0.07
465,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",0.04,0.94,0.03,0.0,0.48,0.52,0.06
474,"LoanAmount,EMI,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",0.04,0.93,0.03,0.0,0.41,0.59,0.07
477,"LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.65,0.35,0.07
481,"LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,NoOfDependents/5.csv",0.04,0.93,0.03,0.0,0.42,0.58,0.07
502,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,RentAmount,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.45,0.55,0.07
521,"LoanAmount,RentAmount/3.csv",0.04,0.94,0.03,0.0,0.5,0.5,0.06
532,"loantype,LoanAmount,EMI,InterestRate,ResidenceType,NoOfDependents/2.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
534,"loantype,LoanAmount,EMI,InterestRate,ResidenceType,NoOfDependents/1.csv",0.04,0.94,0.03,0.0,0.52,0.48,0.06
555,"loantype,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",0.04,0.93,0.03,0.0,0.47,0.53,0.07
578,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",0.04,0.93,0.03,0.0,0.44,0.56,0.07
581,"InterestRate,InsuranceRate,RentAmount/3.csv",0.04,0.94,0.03,0.0,0.4,0.6,0.06
599,"loantype,LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
613,"InterestRate,InsuranceRate,InsuranceAmount,RentAmount/1.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
629,"LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,RentAmount,NoOfDependents/5.csv",0.04,0.93,0.03,0.0,0.42,0.58,0.07
630,"loantype,DocumentCharge,InterestRate,RentAmount/3.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
631,"loantype,DocumentCharge,InterestRate,RentAmount/2.csv",0.04,0.94,0.03,0.0,0.52,0.48,0.06
636,"LoanAmount,InterestRate,InsuranceAmount,RentAmount/2.csv",0.04,0.94,0.03,0.0,0.52,0.48,0.06
651,"LoanAmount,EMI,InterestRate,NoOfDependents/2.csv",0.04,0.93,0.03,0.0,0.52,0.48,0.07
661,"loantype,DocumentCharge,EMI,NoOfDependents/2.csv",0.04,0.93,0.03,0.0,0.48,0.52,0.07
662,"loantype,DocumentCharge,EMI,NoOfDependents/4.csv",0.04,0.93,0.03,0.0,0.4,0.6,0.07
695,"LoanAmount,DocumentCharge,InsuranceRate,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.65,0.35,0.07
727,"loantype,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",0.04,0.93,0.03,0.0,0.53,0.47,0.07
732,"EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",0.04,0.93,0.03,0.0,0.42,0.58,0.07
753,"loantype,LoanAmount,DocumentCharge,EMI,InterestRate,NoOfDependents/1.csv",0.04,0.93,0.03,0.0,0.54,0.46,0.07
761,"loantype,LoanAmount,EMI,ResidenceType,RentAmount,NoOfDependents/2.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
765,"LoanAmount,InsuranceRate,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.58,0.42,0.07
819,"LoanAmount,DocumentCharge,InsuranceRate,RentAmount,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.59,0.41,0.07
829,"loantype,InsuranceRate,InsuranceAmount,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.45,0.55,0.07
831,"loantype,InsuranceRate,InsuranceAmount,NoOfDependents/4.csv",0.04,0.93,0.03,0.0,0.44,0.56,0.07
841,"loantype,InsuranceRate,NoOfDependents/4.csv",0.04,0.93,0.03,0.0,0.44,0.56,0.07
864,"loantype,EMI,InterestRate,NoOfDependents/3.csv",0.04,0.93,0.03,0.0,0.45,0.55,0.07
867,"loantype,EMI,InterestRate,NoOfDependents/1.csv",0.04,0.93,0.03,0.0,0.54,0.46,0.07
932,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",0.04,0.93,0.03,0.0,0.45,0.55,0.07
937,"loantype,LoanAmount,InterestRate,InsuranceRate,ResidenceType,RentAmount/1.csv",0.04,0.94,0.03,0.0,0.45,0.55,0.06
