Name,Designation,DOB,URL,Constituency,Remarks
Sanaullah Baloch,Member of Balochistan Assembly (Provincial),4/4/1971,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/819,PB-42 Kharan,"{'Academic Qualifications': 'MA English MA Balochi B E (Agri) Adeeb Fazil', 'Profession(s)': 'Consultant / Advisor', 'Party Affiliation': 'Balochistan National Party', 'Email': 'senator.baloch@gmail.com', ""Father's/Husband's Name"": 'Ali Jan', 'Marital Status': 'Married', 'Place of Birth': 'Kharan', 'Religion': 'Islam'}"
Saleem Ahmed,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/795,PB-15 Sohbat Pur,"{'Current Posts': 'Minister: Home & Tribal Affairs, PDMA', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Manzoor Ahmed Khoso', 'Religion': 'Islam'}"
Noor Ullah,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/812,PB-3 Killa Saifullah,"{'Party Affiliation': 'Mutahida Majlis-e-Amal', ""Father's/Husband's Name"": 'Fateh Ullah', 'Religion': 'Islam'}"
Noor Muhammad,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/818,PB-6 Ziarat-cum-Harnai,"{'Current Posts': 'Minister: Public Health Engineering', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Ibrahim', 'Religion': 'Islam'}"
Nawabzada Tariq Magsi,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/796,PB-16 Jhal Magsi-cum-Kacchi,"{'Current Posts': 'Minister: Communication & Works', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Nawab Saifullah Magsi', 'Religion': 'Islam'}"
Nawab Muhammad Aslam Khan Raisani,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/848,PB-35 Mastung,"{'Party Affiliation': 'Independent', ""Father's/Husband's Name"": 'Nawab Ghous Bakhsh Khan Raisani', 'Religion': 'Islam'}"
Nasrullah Khan Bareach,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/807,PB-31 Quetta-VIII,"{'Academic Qualifications': 'Master of Science L.L.B.', 'Party Affiliation': 'Pashtoonkhwa Milli Awami Party', 'Email': 'mpazayrai@gmail.com', ""Father's/Husband's Name"": 'Mehrullah Khan Bareach', 'Permanent Contact': 'Phone #\xa0 03337808875\n\n\xa0 House # 06\xa0 Eastern Bypass Afghani Road Quetta', 'Present Contact': 'Pashtoon Khuwan Milli Awmi Party Office Club Road Quetta', 'Religion': 'Islam'}"
Naseer Ahmed,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/808,PB-32 Quetta IX,"{'Academic Qualifications': 'Master of Arts', 'Party Affiliation': 'Balochistan National Party', 'Email': 'chilton_quetta@yahoo.com', ""Father's/Husband's Name"": 'Malik Noor Ahmed', 'Marital Status': 'Married', 'Place of Birth': 'Quetta', 'Permanent Contact': 'Phone # 03327992045\n\nShawani Road Kechi Baig Sariab Road Quetta.', 'Present Contact': 'M.P.A Hostel', 'Religion': 'Islam'}"
Muhammad Saleh Bhootani,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/803,PB-49 Lasbela-I,"{'Current Posts': 'Minister: Local Government and Rural Development', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Umed Ali Khan', 'Marital Status': 'Married', 'Religion': 'Islam'}"
Muhammad Rahim,Member of Balochistan Assembly (Provincial),8/1/1964,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/825,PB-33 Nushki,"{'Academic Qualifications': 'Bachelor of Arts', 'Profession(s)': 'Politics', 'Party Affiliation': 'Balochistan National Party', ""Father's/Husband's Name"": 'Akram Khan', 'Marital Status': 'Married', 'Place of Birth': 'Nushki', 'Permanent Contact': 'Killi Mengal Nushki\nMob:- 0333-7851010', 'Present Contact': 'House No 15-A Jaffar Khan Jamali Road Quetta.', 'Religion': 'Islam'}"
Muhammad Nawaz,Member of Balochistan Assembly (Provincial),1/1/1962,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/799,PB-22 Killa Abdullah-II,"{'Profession(s)': 'Agriculturist\t\t\t\t\n\t\t\tPolitics', 'Party Affiliation': 'Mutahida Majlis-e-Amal', ""Father's/Husband's Name"": 'Fateh Muhammad', 'Marital Status': 'Married', 'Permanent Contact': 'Mobile No. 0301-3767145', 'Religion': 'Islam'}"
Muhammad Mubeen Khan Khilji,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/817,PB-28 Quetta-V,"{'Party Affiliation': 'Pakistan Tehreek e Insaf', ""Father's/Husband's Name"": 'Abdul Mateen Khilji', 'Religion': 'Islam'}"
Muhammad Khan Lehri,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/846,PB-12 Nasirabad-II,"{'Current Posts': 'Advisor To CM: Secondary Education', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Taj Muhammad', 'Religion': 'Islam'}"
Muhammad Khan,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/813,PB-4 Loralai,"{'Current Posts': 'Minister: Industries & Commerce', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Mekhtar', 'Religion': 'Islam'}"
Muhammad Arif,Member of Balochistan Assembly (Provincial),1/1/1975,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/824,PB-34 Chagai,"{'Current Posts': 'Minister: Finance', 'Academic Qualifications': 'Bachelor of Arts', 'Profession(s)': 'Mines Owner', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Mir Haji Gul Muhammad', 'Marital Status': 'Married', 'Place of Birth': 'Dalbandin', 'Permanent Contact': 'Mohammad Hasni House Dalbandin Chagai.\nMob:- 0300-9381688', 'Present Contact': '209 L Block 3 Satelite Town Quetta.', 'Religion': 'Islam'}"
Mitta Khan,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/787,PB-2 Zhob,"{'Current Posts': 'Advisor To CM: Livestock & Dairy Development.', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Abdul Ghafoor'}"
Mir Zia Ullah Langau,Member of Balochistan Assembly (Provincial),15-10-81,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/826,PB-37 Kalat,"{'Current Posts': 'Minister: Forest & Wildlife', 'Party Affiliation': 'Balochistan Awami Party', 'Email': 'mirzia1171@gmail.com', ""Father's/Husband's Name"": 'Mir Abdul Khaliq Langau', 'Marital Status': 'Married', 'Place of Birth': 'Khaliqabad', 'Permanent Contact': 'Kot Langau Khaliq Abad District Kalat\nCell # 0333-9994433', 'Present Contact': 'D-5 Langau Bolak Railway Housing Society Quetta.', 'Religion': 'Islam'}"
Mir Sikandar Ali,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/791,PB-11 Nasirabad-1,"{'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Mir Juma Khan', 'Religion': 'Islam'}"
Mir Naseebullah Khan,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/798,PB-9 Kohlu,"{'Current Posts': 'Minister: Health', 'Party Affiliation': 'Pakistan Tehreek e Insaf', ""Father's/Husband's Name"": 'Mir Noor Ahmad Khan', 'Religion': 'Islam'}"
Mir Naimatullah Khan Zehri,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/832,PB-36 Shaheed Sikanderabad,"{'Party Affiliation': 'Pakistan Tehreek e Insaf', ""Father's/Husband's Name"": 'Sardar Doda Khan Zehri'}"
Mir Muhammad Akbar,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/849,PB-40 Khuzdar-III,"{'Party Affiliation': 'Balochistan National Party', ""Father's/Husband's Name"": 'Haji Nek Muhammad'}"
Mir Hammal,Member of Balochistan Assembly (Provincial),25-09-79,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/804,PB-51 Gwadar,"{'Academic Qualifications': 'Bachelor of Arts', 'Profession(s)': 'Businessman\t\t\t\t\n\t\t\tPolitics', 'Party Affiliation': 'Balochistan National Party', ""Father's/Husband's Name"": 'Mir Abdul Ghafoor', 'Marital Status': 'Married', 'Permanent Contact': 'Mohallah Mir Lal Bakhsh Ward, Gwadar\nMob: - 0324-4004445 \n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 0321-8201650', 'Present Contact': 'MPA Hostel Quetta', 'Religion': 'Islam'}"
Mir Akbar Askani,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/802,PB-48 Kech IV,"{'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Bijjar', 'Religion': 'Islam'}"
Mastoorha,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/847,PBW-62,"{'Party Affiliation': 'Balochistan National Party', ""Father's/Husband's Name"": 'Mir Asadullah Baloch', 'Marital Status': 'Married', 'Permanent Contact': 'Mashriqi Post Office, Panjgur.\nMob:- 0333-7011184', 'Religion': 'Islam'}"
Masood Ali Khan,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/851,PB-5 Duki,{}
Malik Sikandar Khan,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/815,PB-25 Quetta-II,"{'Current Posts': 'Leader of Opposition', 'Party Affiliation': 'Mutahida Majlis-e-Amal', ""Father's/Husband's Name"": 'Malik PaiGul', 'Religion': 'Islam'}"
Malik Naeem Khan Bazai,Member of Balochistan Assembly (Provincial),6/9/1965,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/814,PB-24 Quetta-I,"{'Current Posts': 'Advisor To CM: Excise & Taxation', 'Academic Qualifications': 'Bachelor of Arts', 'Profession(s)': 'Businessman', 'Party Affiliation': 'Awami National Party', 'Email': 'kingbazai3@gmail.com', ""Father's/Husband's Name"": 'Saifullah Khan Bazai', 'Marital Status': 'Married', 'Place of Birth': 'Quetta', 'Permanent Contact': 'Muhalla Bazai House, Airport Road Bazai Qilla, Qutta.\nMob:- 0300-9385975', 'Religion': 'Islam'}"
Mahjabeen Sheeren,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/835,PBW-54,"{'Academic Qualifications': 'L.L.B. Bachelor of Science', 'Profession(s)': 'Social Worker', 'Party Affiliation': 'Balochistan Awami Party', 'Email': 'mahjabeennadeem9@gmail.com', ""Father's/Husband's Name"": 'Nadeem Azad', 'Marital Status': 'Married', 'Place of Birth': 'Kech', 'Permanent Contact': 'Village Tanzag Turbat District Kech\nMob:- 0303-8100440', 'Religion': 'Islam'}"
Laila Bibi,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/834,PBW-53,"{'Academic Qualifications': 'F.A.', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Roullah Khan Tareen', 'Permanent Contact': 'Phone # 03337774167\n\nMohallah Jalalabad Harnai'}"
Jan Muhammad Khan Jamali,Member of Balochistan Assembly (Provincial),23-05-55,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/794,PB-14 Jaffarabad-II,"{'Academic Qualifications': 'Bachelor of Arts', 'Profession(s)': 'Agriculturist', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Mir Noor Muhammad Khan Jamali', 'Marital Status': 'Married', 'Permanent Contact': 'Goth Noor Pur Jamali Usta Muhammad District Jaffarabad', 'Present Contact': 'Chaman Housing Scheme Quetta.', 'Religion': 'Islam'}"
Jam Kamal Khan,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/809,PB-50 Lasbela-II,"{'Current Posts': 'Leader of the House', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Jam Muhammad Yousaf Khan', 'Marital Status': 'Married', 'Religion': 'Islam'}"
Gohram Bugti,Member of Balochistan Assembly (Provincial),15-11-83,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/810,PB-10 Dera Bugti,"{'Academic Qualifications': 'Graduation', 'Profession(s)': 'Landlord', 'Party Affiliation': 'Jamhuri Wattan Party', ""Father's/Husband's Name"": 'Talal Akbar Khan Bugti', 'Marital Status': 'Married', 'Place of Birth': 'Dera Bugti', 'Permanent Contact': 'House No-1 Street No-1 Muhallah Nawab Bugti Qilla, Dera Bugti.\nMob:- 0335-2068321', 'Present Contact': 'Bugti House, Fatima Jinnah Road Quetta.', 'Religion': 'Islam'}"
Fareeda Bibi Rind,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/841,PBW-60,"{'Academic Qualifications': 'F.Sc.', 'Party Affiliation': 'Pakistan Tehreek e Insaf', ""Father's/Husband's Name"": 'Haji Muhammad Yousaf Rind', 'Marital Status': 'Married', 'Place of Birth': 'Dhadar', 'Permanent Contact': 'Mohalla Sadat Dhadar\nMob:- 0333-1397341', 'Religion': 'Islam'}"
Dr. Rubaba Khan Buledi,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/833,PBW-52,"{'Academic Qualifications': 'MBBS Master of Business Administration M.D D.DERM D.CIL', 'Profession(s)': 'Doctor', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Ajab Khan Buledi'}"
Danesh Kumar,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/843,NM-63,"{'Profession(s)': 'Businessman\t\t\t\t\n\t\t\tPolitician', 'Party Affiliation': 'Balochistan Awami Party', 'Email': 'palyani@gmail.com', ""Father's/Husband's Name"": 'Kalena Ram', 'Permanent Contact': 'Evergreen Resources Main RCD Road opp Cost guard Office Hub Chowki Lasbella.\nMob:- 0300-8208069', 'Present Contact': 'Room # 15 ( VIP ) MPA Hostel Hali Road Quetta'}"
Bushra Rind,Member of Balochistan Assembly (Provincial),8/5/1970,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/836,PBW-55,"{'Academic Qualifications': 'M.A (IR)', 'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Amanullah Rind', 'Marital Status': 'Married', 'Place of Birth': 'Karachi', 'Permanent Contact': 'Chapel Arcade 2 Second Floor Flat No 205- Clifton Karachi.\nMob:- 0345-0333352', 'Present Contact': 'B.B Shaheen Bungalows Sariab Road Quetta.', 'Religion': 'Islam'}"
Bibi Shaheena,Member of Balochistan Assembly (Provincial),1/2/1988,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/842,PBW-61,"{'Party Affiliation': 'Awami National Party', ""Father's/Husband's Name"": 'Malik Muhammad Ramzan', 'Place of Birth': 'Kuchlak', 'Permanent Contact': 'Malik Shah jahan Dakhana Kuchlak, Tehsil Kuchlak\nMob:- 0304-2871614', 'Religion': 'Islam'}"
Bano,Member of Balochistan Assembly (Provincial),10/11/1969,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/837,PBW-56,"{'Party Affiliation': 'Mutahida Majlis-e-Amal', ""Father's/Husband's Name"": 'Khalil Ahmed', 'Marital Status': 'Married', 'Place of Birth': 'Jacobabad', 'Permanent Contact': 'Sarangzai House 10-4/186 Brewery Road Quetta\nMob:- 0300-3876228', 'Religion': 'Islam'}"
Asghar Khan,Member of Balochistan Assembly (Provincial),4/2/1977,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/831,PB-23 Killa Abdullah-III,"{'Party Affiliation': 'Awami National Party', ""Father's/Husband's Name"": 'Haji Jilani Khan', 'Marital Status': 'Married', 'Place of Birth': 'Chaman Killa Abdullah', 'Permanent Contact': 'Khan House Opposite Nagi Children Hospital Kayka Abad Road Patel Bagh.\nMob:- 0300-3831178\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 0331-8040000', 'Present Contact': 'Chaman Killi Abdullah Murda Karez', 'Religion': 'Islam'}"
Asghar Ali Tareen,Member of Balochistan Assembly (Provincial),1/1/1986,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/828,PB-19 Pishin II,"{'Academic Qualifications': 'Bachelor of Arts', 'Profession(s)': 'Businessman', 'Party Affiliation': 'Mutahida Majlis-e-Amal', ""Father's/Husband's Name"": 'Haji Shoukat Ali Khan Tareen', 'Marital Status': 'Married', 'Place of Birth': 'Killi Malizai', 'Permanent Contact': 'Killi Malizai District, Tehsil Pishin\nMob:- 0300-5196380', 'Present Contact': 'House No 520/B Staff College Road Quetta Cantt.', 'Religion': 'Islam'}"
Asadullah,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/823,PB-43 Panjgur,"{'Current Posts': 'Minister: Food and Social Welfare & Non-Formal Education', 'Party Affiliation': 'Balochistan National Party', ""Father's/Husband's Name"": 'Abdul Kareem Sadozai'}"
Akhtar Hussain Langau,Member of Balochistan Assembly (Provincial),14-06-74,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/800,PB-29 Quetta-VI,"{'Academic Qualifications': 'B.E Civil', 'Profession(s)': 'Engineer\t\t\t\t\n\t\t\tPolitics', 'Party Affiliation': 'Balochistan National Party', 'Email': 'akhtarbnp@yahoo.com', ""Father's/Husband's Name"": 'Mir Inayatullah', 'Marital Status': 'Married', 'Place of Birth': 'Quetta', 'Permanent Contact': 'Inayat Manzil Mano Jan Road Quetta.\nMob:- 0331-7777779', 'Religion': 'Islam'}"
Ahmed Nawaz,Member of Balochistan Assembly (Provincial),2/3/1977,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/801,PB-30 Quetta-VII,"{'Academic Qualifications': 'M.S.C M.A', 'Profession(s)': 'Politics', 'Party Affiliation': 'Balochistan National Party', 'Email': 'ahmednawazbaloch68@gmail.com', ""Father's/Husband's Name"": 'Mir Juma Khan', 'Marital Status': 'Married', 'Place of Birth': 'Bolan', 'Permanent Contact': 'Barma Hotel Sariab Road Mohallah Killi Ghareeb Abad Quetta.\nMob:- 0333-7841137\n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 0300-0181450', 'Present Contact': 'M.P.A Hostel Room No # 7.', 'Religion': 'Islam'}"
Abdul Wahid Siddiqui,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/827,PB-18 Pishin I,"{'Academic Qualifications': 'Bachelor of Arts', 'Profession(s)': 'Landlord\t\t\t\t\n\t\t\tPolitician', 'Party Affiliation': 'Mutahida Majlis-e-Amal', 'Email': 'qahirbpa@yahoo.com', ""Father's/Husband's Name"": 'Musa Jan', 'Permanent Contact': 'Mob:- 0333-7857877\xa0\xa0\xa0\xa0 \n\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 0313-7857877 \n\nSakizai Khanozai Tehsil Khanozai District Pishin', 'Present Contact': 'Library Balochistan Provincial Assembly'}"
Abdul Rasheed,Member of Balochistan Assembly (Provincial),,http://www.pabalochistan.gov.pk/index.php/members/profile/en/28/852,PB-47 Kech III,"{'Party Affiliation': 'Balochistan Awami Party', ""Father's/Husband's Name"": 'Haji Ismail', 'Religion': 'Islam'}"
