orignal_name,wikipedia_name
colin jean-louis,Jean-Louis Scherrer
conservation international hong kong,Conservation in Hong Kong
counter trafficking (ct),International Organization for Migration (IOM) Mission in Ukraine
court of arbitration for sport (cas),Court of Arbitration for Sport
craig guildford,Guildford pub bombings
crown prince mohammed bin zayed al nahyan,Issa bin Zayed Al Nahyan
cyrus e. cooper,Cyrus Woods
dana charitable settlement,List of philanthropists
daniel lapin.,Daniel Lapin
dave thompson,Dave Thompson (comedian)
david andré,André the Giant
david holt,David Holt (politician)
david mwole kimaiyo,David Kimaiyo
david p. rowland,David Rowland
debbie simpson,Debbie Rowe
dee collins,Jay Dee Collins
dennis luyt,Luyt
diana cesar,Diana Turbay
doug collins,Doug Collins (basketball)
chow yei ching,Chow Yei-ching
kennedy wong ying-ho,Kennedy Wong
mohamad maliki bin osman,Maliki Osman
abdul rahman bin mohammed bin nasser al owais,Abdul Rahman Mohammed Al Owais
anwar bin mohammed gargash,Anwar Gargash
hussain rasheed,Hussain Rasheed Ahmed
maitha bint salem al shamsi,Maitha Salem Al Shamsi
sultan bin ahmed sultan al jaber,Sultan Ahmed Al Jaber
thani bin ahmed al-zeyoudi,Thani Ahmed Al-Zeyoudi
dubai sports council (dsc),Dubai Sports City
dubai foundation for women and children (dfwac),Crime in the United Arab Emirates
eddy boissézon,Muvman Liberater
elias ahmed,Riz Ahmed
"elie ferzli,",Elie Ferzli
elisabeth borne,Élisabeth Borne
emirates bowling federation,World Bowling
emirates wildlife society.,Wildlife of the United Arab Emirates
emmanuelle lamoureux,List of Ambassadors and High Commissioners of Canada
eric piolle,Éric Piolle
essam bin abdulla khalaf,Essam Khalaf
etienne sinatambou,Pravind Jugnauth
european broadcasting union (ebu),European Broadcasting Union
european consortium for political research (ecpr),European Consortium for Political Research
faiz mohammad osmani,Ghani cabinet
faizullah zaki,Cabinet of Afghanistan
family health international,FHI 360
farid hamidi,Ahmad Zahid Hamidi
fayyaz ismail,Social Liberal Party (Maldives)
fazel hadi muslimyaar,2018 in Afghanistan
ferozuddin feroz,Cabinet of Afghanistan
francois bayrou,François Bayrou
francoise nyssen,Françoise Nyssen
fred matiangi,Fred Matiang'i
frederick lenz.,Frederick Lenz
funday sunday.,Sunday Funday (block)
gareth wilson,Gareth Bale
gary roberts,Gary Roberts (ice hockey)
gen joseph dunford,Joseph Dunford
general abdullah habibi,Abdullah Habibi
general sir nicholas carter,Nick Carter (British Army officer)
george hamilton,George Hamilton (actor)
gerald darmanin,Gérald Darmanin
gerard collomb,Gérard Collomb
ghanim bin fadhl al-buainain,Cabinet of Bahrain
gianfranco casati,The Opera Singer
giles york,Giles Corey
giorgio visetti,List of ambassadors of Italy to Finland
"global fund to fight aids, tuberculosis and malaria (gfatm)","The Global Fund to Fight AIDS, Tuberculosis and Malaria"
guillaume farel,William Farel
gulf for good,Gulf Oil
général françois lecointre,François Lecointre
h.e. vincent mériton,Cabinet of Seychelles
habitat for humanity international,Habitat for Humanity
hassan arero,Hassan Wario
hilal bin ahmed bin lootah,Politics of the United Arab Emirates
hong kong squash,Hong Kong Open (squash)
hong xiaoyong,Xiaoyong Chen
human development organization,Organization development
ifa sport,NIFL Championship
immigration and border management (ibm),Brodie Clark
ismail naveen,Maldives Police Service
ivan collendavelloo,Muvman Liberater
jameel bin mohammad ali humaidan,Cabinet of Bahrain
jameela bint salem al muhairi,Jameela Salem Al Muhairi
jason smith,Jason Smith (chef)
jawad al arrayedh,Jawad Al Arrayed
jean oghassapian,Lebanese government of December 2016
jeanne simeon,Jeanne Siméon
jeff farrar,Jay Farrar
jeff williams,Jeff Williams (Apple)
jillian evans,Jill Evans
jim nicholson,Jim Nicholson (Secretary of Veterans Affairs)
jim strickland,Jim Strickland (politician)
joe mucheru,Joseph Mucheru
john dixon long.,John Dixon Long
john j. sullivan,John J. Sullivan (diplomat)
joseph aoun,Joseph E. Aoun
joseph crowley,Joe Crowley
joseph nkaissery,Joseph Ole Nkaissery
joshua law,Joshua's Law
julia niblett,List of Australian High Commissioners to Bangladesh
kazumi endo,Aya Endō
kdf general samson mwathethe,Kenya Defence Forces
ken lusaka,Kenneth Lusaka
kevin mccarthy,Kevin McCarthy (California politician)
khalifa bin ahmed al khalifa,Hamad bin Isa Al Khalifa
kimberly jordan,Kimberly Caldwell
law and society trust,The Law and Society Trust
lee freeman,Strawberry Alarm Clock
liu xianfa,List of ambassadors of China to Kenya
liz nolan,Liz and Julia Nolan
lord wallace of tankerness,"Jim Wallace, Baron Wallace of Tankerness"
louis-joseph antoine,"Louis Antoine, Duke of Angoulême"
lt gen philippe rebord,Philippe Rebord
m. s. p. ranjith perera,Gampaha Electoral District
majid al futtaim charity foundation,Pearl Initiative
majid bin ali al-nuaimi,Royal families of the United Arab Emirates
major general ahmed shiyam,Ahmed Shiyam
make a wish international,Make-A-Wish Foundation
mansour o. saad,Abdulhussain Abdulredha
marc benayoun,Serious as Pleasure
maria eugenia amaya,Isabella Clara Eugenia
mark g. parker,Mark Parker
martin gomez bustillo,María Conchita Alonso
marty walsh,Marty Walsh (politician)
maría de la paz donoso,Octavio Paz
max lucado.,Max Lucado
may-lung cha,Laura Cha
mayor paul aziz,"Lebanon, Oregon"
md. mustafizur rahman,Mustafizur Rahman (general)
melissa ballenger,Dylann Roof
michael hancock,Michael Hancock (Colorado politician)
michael r. pompeo,Mike Pompeo
michael wong,Michael Wong (actor)
mick matthews,Kidnapping of Shannon Matthews
mike barton,Mike Polchlopek
mizanur rahman sayed,Mizanur Rahman
mohammad sarwar danish,Sarwar Danish
mohammad sarwar mahmood,British Asians in politics of the United Kingdom
mohammed ahmed al murr al falasi,Hamdan bin Mohammed Al Maktoum
mohammed al gergawi,Mohammad Al Gergawi
mohammed bin abdullah al gergawi,Shabab Al-Ahli Dubai FC
mohammed bin hamad al rumhi,Mohammed Al Rumhi
mohammed khalfan al rumaithi,Abu Dhabi Police
mohammed khalifa al habtoor,Politics of the United Arab Emirates
mozammel haque,Mozammel Haque (politician)
"abhay thakur,",Qayamat Ki Raat
akhilesh mishra,Janeshwar Mishra
arthur spyrou,List of ambassadors of Australia to the United Arab Emirates
benjamin dubertret,France–Singapore relations
jawed ashraf,Jawed
kenichi suganuma,Brunei–Japan relations
"lau yip-shing, alan",Civil Decorations of Hong Kong
li kin-fai,Tony Leung Ka-fai
manish prabhat,Chandragupta Maurya (2011 TV series)
md. abdul mannan hawlader,Bagerhat-2
moazzam ahmad khan,"Embassy of Pakistan, Abu Dhabi"
moin ul haque,Moin-ul-Haq Stadium
muneeb,Munib
richard via,Little Richard
risto piipponen,Kauko Jämsén
victor t.k. li,Guahibo language
li chi-hang,Steven Cheung Chi-hang
lo wai-chung,Stephen Lo
ben judah benjamin,Judah ben Benjamin Anav
kesavapany krishnasamy,Halimah Yacob
rajesh r shah,Rajesh Khattar
chiu wai-yin,Tony Leung Chiu-wai
denise phua lay peng,Denise Phua
katrina cooper,Katrina and the Waves
susan coles,Jane Coles
ms. jennifer lim,Australia 2020 Summit
muhammad ibn mubarak al khalifa,Muhammad ibn Mubarak ibn Hamad Al Khalifah
mun tak yang,Marjorie Yang
muriel penicaud,Muriel Pénicaud
narayan chandra chan,Narayon Chandra Chanda
nargis nehan,Cabinet of Afghanistan
nasir ahmad durrani,Durrani Empire
national olympic committees worldwide<,International Olympic Committee
naveen pandey,Chhichhore
ni jian,My Own Swordsman
niall hannigan,Song of the Sea (2014 film)
nick ephgrave,Surrey Police
nicolas tueni,Members of the 2005–09 Lebanese Parliament
nouhad machnouk,Nohad Machnouk
noura bint mohammed al kaabi,Noura Al Kaabi
noura mohammed al kaabi,Noura Al Kaabi
olivia pinkney,Jillian Murray
olivier bianchi,Jules Bianchi
omar sultan al olama,Omar AlOlama
p. arnoldus,Piet Cronjé
patient access network foundation,Wireless security
patrick harvie and maggie chapman,Patrick Harvie
patrick vel,Renault Vel Satis
paul chan,Michael Paul Chan
paul r. daugherty,Michael Daugherty
peter goodman,Peter S. Goodman
pierre abi assi,Lebanese government of December 2016
pieter zwart,Piet Zwart
piyadasa kudabalage,2018 Sri Lankan constitutional crisis
president danny faure,Danny Faure
president abdul hamid,Abdul Hamid (politician)
president khalifa bin zayed al nahyan,Abdullah bin Zayed Al Nahyan
president maithripala sirisena,Maithripala Sirisena
prime minister sheikh hasina,Sheikh Hasina
prime minister – theresa may,Theresa May
pui mun chan,List of secondary schools in Hong Kong
qi zhenhong,Li Chen (diplomat)
"qu xing,",The Eternal Love
queen – elizabeth ii,Elizabeth II
rahim peerzada,With Samina Peerzada
rashid ahmed bin fahd,Abdulaziz bin Ahmed Al Saud
reem bint ibrahim al hashimy,Reem Al Hashimi
"richard ferrand,",Richard Ferrand
richard leonard,Richard Leonard (Scottish politician)
rob kramer,Rob Bourdon
roland dubertrand,1974 Five Nations Championship squads
saad al-bader,List of Kuwaitis
saeed mohammed al kindi,Union National Bank
saif al shabibi,Cabinet of Oman
salman bin hamad al khalifa,Khalifa bin Salman Al Khalifa
sanjay prakash,Manyata Dutt
sarah bint yousif al amiri,Sarah Amiri
sarath amunugama,Sarath Amunugama (politician)
sayyid asa'ad bin tariq bin taimur al said,Asa'ad bin Tariq bin Taimur al Said
sayyid badr bin saud al busaidi,Badr bin Saud al Busaidi
sayyid haitham bin tariq al said,Haitham bin Tariq Al Said
sayyid khalid bin hilal al busaidi,Khalid bin Hilal al Busaidi
sayyid saud bin hilal bin hamad al busaidi,"Said bin Sultan, Sultan of Muscat and Oman"
sayyid fahd bin mahmoud al said,Fahd bin Mahmoud al Said
shaikh khalid bin ali al khalifa,Khalifa bin Salman Al Khalifa
shaikh salman bin isa al khalifa,Khalifa bin Salman Al Khalifa
shaun sawyer,Shawn Sawyer
sheikh abdullah bin zayed al nahyan,Abdullah bin Zayed Al Nahyan
sheikh hamdan bin rashid al maktoum,Hamdan bin Rashid Al Maktoum
sheikh khalid bin omar bin said al marhoon,Cabinet of Oman
sheikh mansour bin zayed al nahyan,Mansour bin Zayed Al Nahyan
sheikh mohammed bin abdullah al hinai,House of Al Said
sheikh nahyan bin mubarak al nahyan,Nahyan bin Mubarak Al Nahyan
sheikh sa'ad bin mohammed bin said al mardhouf al sa'adi,Cabinet of Oman
sheikh saif bin zayed al nahyan,Saif bin Zayed Al Nahyan
sheikh nahyan bin mubarak al nahyan,Nahyan bin Mubarak Al Nahyan
shidhatha shareef,Cabinet of the Maldives
sir jeremy heywood,Jeremy Heywood
sir john thomas,Thomas Malory
sir kim darroch,Kim Darroch
soodesh callichurn,Government of Mauritius
sport accord.,Sport
sports federation and olympic committee of hong kong,"Sports Federation and Olympic Committee of Hong Kong, China"
sri lanka cricket,Sri Lanka national cricket team
steve adler,Steve Adler (lawyer)
steve ashman,World Quizzing Championship
steve fanny,Sweet Fanny Adams (album)
steve fechheimer,Bill Gates
steven klooster,Summer Girl
sudhir seesungkur,Government of Mauritius
suhail bin mohammed faraj al mazroui,Suhail Al Mazroui
sultan qaboos bin said al said,Qaboos bin Said al Said
sun gongyi,Three Kingdoms (TV series)
suresh paranavithana,Index of Sri Lanka-related articles (S)
susil premajayanth,Susil Premajayantha
sven jurgenson,Sven Jürgenson
syed shakeel hussain,Shakeel
t.m.c. asser institute,Jamshid Momtaz
tan chye hee,Lee Boon Chye
taranjit singh sandhu,Reenat Sandhu
tarek khatib,Mahmoud El Khatib
teresa cheng,Teresa Cheng (politician)
the association for international sport for all (tafisa) ...,TAFISA
the royal hong kong yacht club,Royal Hong Kong Yacht Club
the uae red crescent.,Red Crescent Society of the United Arab Emirates
theresa may mp,Theresa May
tim keller,Tim Keller (pastor)
tofael ahmed,Tofail Ahmed (politician)
transparent hands foundation,Replogle
uae dolphin project.,Dolphin Gas Project
vince lampert.,Vince Lampert
vishnu lutchmeenaraidoo,Ministry of Finance and Economic Development (Mauritius)
w. g. n. h. dias,List of Indian film actresses
wang fukang,List of ambassadors of China to the Maldives
whale and dolphin conservation society (wdcs),Whale and Dolphin Conservation
yaacoub sarraf,Yacoub Sarraf
yu jinsong,Gao Jinsong
zaki anwar nusseibeh,Zaki Nusseibeh
zayed bin rashid al zayani,Cabinet of Bahrain
zayed giving initiative,Zayed bin Sultan Al Nahyan
zayed rashid al zayani,Gulf Air
