AUS,BDESH,Belg,CAN,DEN,ENG,EPS,GUE,HKG,INDIA,IRE,KENYA,MAL,Mex,Moroc,NAM,NL,NZ,OMAN,PAK,PNG,QAT,SA,Samoa,SCOT,SIN,SL,UAE,UGA,USA,WI,ZIM
" Manuka Oval, Canberra",,,,," Nevill Ground, Tunbridge Wells",,,," Green Park, Kanpur",,,,,,,," Saxton Oval, Nelson",," Niaz Stadium, Hyderabad",,," St George's Park, Port Elizabeth",,,,,,,," Sir Vivian Richards Stadium, North Sound, Antigua",
 Melbourne Cricket Ground,,,,," North Marine Road Ground, Scarborough",,,," Greenfield International Stadium, Thiruvananthapuram",,,,,,,," Seddon Park, Hamilton",, Peshawar Club Ground,,," SuperSport Park, Centurion",,,,,,,," Warner Park, Basseterre, St Kitts",
" North Tasmania Cricket Association Ground, Launceston",,,,," Old Trafford, Manchester",,,," Gymkhana Ground, Mumbai",,,,,,,," University Oval, Dunedin",," Pindi Club Ground, Rawalpindi",,," The Wanderers Stadium, Johannesburg",,,,,,,," Windsor Park, Roseau, Dominica",
 Perth Stadium,,,,," Riverside Ground, Chester-le-Street",,,," Himachal Pradesh Cricket Association Stadium, Dharamsala",,,,,,,," Westpac Stadium, Wellington",, Rawalpindi Cricket Stadium,,," Willowmoore Park, Benoni",,,,,,,,,
" Simonds Stadium, South Geelong, Victoria",,,,," Sophia Gardens, Cardiff",,,," Holkar Cricket Stadium, Indore",,,,,,,,,, Sheikhupura Stadium,,,,,,,,,,,,
" Stadium Australia, Sydney",,,,," St Helen's, Swansea",,,," Indira Gandhi Stadium, Vijayawada",,,,,,,,,," Southend Club Cricket Stadium, Karachi",,,,,,,,,,,,
 Sydney Cricket Ground,,,,," St Lawrence Ground, Canterbury",,,," Indira Priyadarshini Stadium, Visakhapatnam",,,,,,,,,," Sports Stadium, Sargodha",,,,,,,,,,,,
" Tasmania Cricket Association Ground, Hobart",,,,," The 3aaa County Ground, Derby",,,," Jawaharlal Nehru Stadium, New Delhi",,,,,,,,,," Zafar Ali Stadium, Sahiwal",,,,,,,,,,,,
" TIO Stadium, Darwin",,,,," The Cooper Associates County Ground, Taunton",,,," JSCA International Stadium Complex, Ranchi",,,,,,,,,,,,,,,,,,,,,,
" Tony Ireland Stadium, Townsville",,,,," The Rose Bowl, Southampton",,,," K.D.Singh 'Babu' Stadium, Lucknow",,,,,,,,,,,,,,,,,,,,,,
" W.A.C.A. Ground, Perth",,,,," Trent Bridge, Nottingham",,,," Keenan Stadium, Jamshedpur",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Lal Bahadur Shastri Stadium, Hyderabad",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," M.Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," MA Chidambaram Stadium, Chepauk, Chennai",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Madhavrao Scindia Cricket Ground, Rajkot",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Maharashtra Cricket Association Stadium, Pune",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Moin-ul-Haq Stadium, Patna",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Moti Bagh Stadium, Vadodara",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Nahar Singh Stadium, Faridabad",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Nehru Stadium, Fatorda, Margao",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Nehru Stadium, Guwahati",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Nehru Stadium, Indore",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Nehru Stadium, Kochi",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Nehru Stadium, Madras",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Nehru Stadium, Pune",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Rajiv Gandhi International Cricket Stadium, Dehradun",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Rajiv Gandhi International Stadium, Uppal, Hyderabad",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Reliance Stadium, Vadodara",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Sardar Patel (Gujarat) Stadium, Motera, Ahmedabad",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Sardar Vallabhai Patel Stadium, Ahmedabad",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Saurashtra Cricket Association Stadium, Rajkot",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Sawai Mansingh Stadium, Jaipur",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Sector 16 Stadium, Chandigarh",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Sher-i-Kashmir Stadium, Srinagar",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," University Ground, Lucknow",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," University Stadium, Trivandrum",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Vidarbha C.A. Ground, Nagpur",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Vidarbha Cricket Association Stadium, Jamtha, Nagpur",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,," Wankhede Stadium, Mumbai",,,,,,,,,,,,,,,,,,,,,,
