,names,size,TN,FN,TP,FP,proportion_of_0,proportion_of_1,Accuracy
235,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,ResidenceType,NoOfDependents/3.csv",4577,0.04,0.94,0.03,0.0,0.45,0.55,0.06
250,"loantype,EMI,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/3.csv",4198,0.04,0.93,0.03,0.0,0.45,0.55,0.07
258,"EMI,InterestRate,NoOfDependents/1.csv",12658,0.04,0.93,0.03,0.0,0.53,0.47,0.07
267,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType/4.csv",10252,0.04,0.93,0.03,0.0,0.53,0.47,0.07
316,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceRate,ResidenceType/4.csv",10252,0.04,0.93,0.03,0.0,0.53,0.47,0.07
335,"loantype,LoanAmount,EMI,InterestRate,RentAmount/2.csv",3135,0.04,0.94,0.03,0.0,0.48,0.52,0.06
337,"loantype,LoanAmount,EMI,InterestRate,RentAmount/1.csv",20239,0.04,0.94,0.03,0.0,0.54,0.46,0.06
352,"loantype,InsuranceRate,ResidenceType,RentAmount/3.csv",4577,0.04,0.94,0.03,0.0,0.45,0.55,0.06
356,"loantype,InsuranceRate,ResidenceType,RentAmount/5.csv",584,0.04,0.94,0.03,0.0,0.47,0.53,0.06
364,"LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",1700,0.04,0.93,0.03,0.0,0.42,0.58,0.07
366,"LoanAmount,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",1452,0.04,0.94,0.03,0.0,0.43,0.57,0.06
368,"loantype,EMI,ResidenceType,NoOfDependents/2.csv",4570,0.04,0.93,0.03,0.0,0.45,0.55,0.07
380,"loantype,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount/1.csv",10407,0.04,0.94,0.03,0.0,0.45,0.55,0.06
409,"loantype,DocumentCharge,EMI,ResidenceType,RentAmount,NoOfDependents/4.csv",1947,0.04,0.93,0.03,0.0,0.41,0.59,0.07
415,"loantype,InterestRate,InsuranceAmount,RentAmount,NoOfDependents/1.csv",9743,0.04,0.94,0.03,0.0,0.47,0.53,0.06
425,"LoanAmount,EMI,InterestRate,ResidenceType,NoOfDependents/1.csv",18422,0.04,0.93,0.03,0.0,0.52,0.48,0.07
428,"loantype,LoanAmount,EMI,InterestRate,ResidenceType,RentAmount,NoOfDependents/2.csv",4584,0.04,0.94,0.03,0.0,0.45,0.55,0.06
438,"loantype,DocumentCharge,RentAmount,NoOfDependents/2.csv",3222,0.04,0.93,0.03,0.0,0.49,0.51,0.07
451,"LoanAmount,InsuranceAmount,RentAmount,NoOfDependents/5.csv",2028,0.04,0.94,0.03,0.0,0.37,0.63,0.06
464,"LoanAmount,DocumentCharge,EMI,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",5325,0.04,0.93,0.03,0.0,0.41,0.59,0.07
474,"LoanAmount,EMI,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",1963,0.04,0.93,0.03,0.0,0.41,0.59,0.07
476,"LoanAmount,EMI,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/5.csv",6371,0.04,0.93,0.03,0.0,0.58,0.42,0.07
481,"LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,NoOfDependents/5.csv",5708,0.04,0.93,0.03,0.0,0.42,0.58,0.07
502,"loantype,LoanAmount,EMI,InterestRate,InsuranceRate,RentAmount,NoOfDependents/3.csv",5161,0.04,0.93,0.03,0.0,0.45,0.55,0.07
514,"loantype,LoanAmount,InterestRate,InsuranceRate,RentAmount/1.csv",11299,0.04,0.94,0.03,0.0,0.45,0.55,0.06
521,"LoanAmount,RentAmount/3.csv",5700,0.04,0.94,0.03,0.0,0.5,0.5,0.06
532,"loantype,LoanAmount,EMI,InterestRate,ResidenceType,NoOfDependents/2.csv",4584,0.04,0.94,0.03,0.0,0.45,0.55,0.06
534,"loantype,LoanAmount,EMI,InterestRate,ResidenceType,NoOfDependents/1.csv",16949,0.04,0.94,0.03,0.0,0.52,0.48,0.06
555,"loantype,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/5.csv",584,0.04,0.93,0.03,0.0,0.47,0.53,0.07
578,"loantype,LoanAmount,DocumentCharge,EMI,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/4.csv",7744,0.04,0.93,0.03,0.0,0.44,0.56,0.07
581,"InterestRate,InsuranceRate,RentAmount/3.csv",5118,0.04,0.94,0.03,0.0,0.4,0.6,0.06
599,"loantype,LoanAmount,InterestRate,InsuranceRate,InsuranceAmount,ResidenceType,RentAmount,NoOfDependents/1.csv",10407,0.04,0.94,0.03,0.0,0.45,0.55,0.06
613,"InterestRate,InsuranceRate,InsuranceAmount,RentAmount/1.csv",15497,0.04,0.94,0.03,0.0,0.45,0.55,0.06
618,"LoanAmount,DocumentCharge,InterestRate,InsuranceRate,InsuranceAmount,NoOfDependents/1.csv",9717,0.04,0.93,0.03,0.0,0.48,0.52,0.07
630,"loantype,DocumentCharge,InterestRate,RentAmount/3.csv",5161,0.04,0.94,0.03,0.0,0.45,0.55,0.06
636,"LoanAmount,InterestRate,InsuranceAmount,RentAmount/2.csv",14865,0.04,0.94,0.03,0.0,0.52,0.48,0.06
651,"LoanAmount,EMI,InterestRate,NoOfDependents/2.csv",12585,0.04,0.93,0.03,0.0,0.52,0.48,0.07
661,"loantype,DocumentCharge,EMI,NoOfDependents/2.csv",3854,0.04,0.93,0.03,0.0,0.48,0.52,0.07
677,"loantype,EMI,InterestRate,InsuranceRate,NoOfDependents/4.csv",963,0.04,0.93,0.03,0.0,0.44,0.56,0.07
693,"LoanAmount,DocumentCharge,EMI,InsuranceRate,InsuranceAmount,ResidenceType,NoOfDependents/1.csv",14045,0.04,0.93,0.03,0.0,0.46,0.54,0.07
